starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 13:09:56 2019	1553789396	1	4815	4816	2814
Thu Mar 28 13:11:30 2019	1553789490	0	4816	4817	2816
Thu Mar 28 13:11:12 2019	1553789472	0	4817	4817	2817
Thu Mar 28 13:11:32 2019	1553789492	0	4817	4817	2817
Thu Mar 28 13:11:34 2019	1553789494	0	4818	4818	2817
Thu Mar 28 13:10:50 2019	1553789450	1	4817	4818	2816
Thu Mar 28 13:10:52 2019	1553789452	1	4817	4818	2816
Thu Mar 28 13:10:58 2019	1553789458	0	4818	4819	2818
Thu Mar 28 13:11:08 2019	1553789468	1	4818	4819	2816
Thu Mar 28 13:11:06 2019	1553789466	0	4820	4820	2819
Thu Mar 28 13:10:56 2019	1553789456	0	4820	4820	2819
Thu Mar 28 13:11:10 2019	1553789470	1	4820	4821	2818
Thu Mar 28 13:11:00 2019	1553789460	0	4821	4821	2819
Thu Mar 28 13:10:58 2019	1553789458	0	5185	5185	3185
Thu Mar 28 13:11:04 2019	1553789464	0	5185	5186	3186
Thu Mar 28 13:11:08 2019	1553789468	1	5186	5187	3187
Thu Mar 28 13:10:56 2019	1553789456	0	5187	5187	3186
Thu Mar 28 13:11:06 2019	1553789466	0	5187	5187	3187
Thu Mar 28 13:11:10 2019	1553789470	0	5187	5187	3186
Thu Mar 28 13:10:54 2019	1553789454	0	5187	5188	3188
Thu Mar 28 13:11:29 2019	1553789489	0	5188	5188	3187
Thu Mar 28 13:11:33 2019	1553789493	0	5188	5189	3188
Thu Mar 28 13:11:31 2019	1553789491	0	5189	5189	3188
Thu Mar 28 13:10:50 2019	1553789450	1	5189	5190	3188
Thu Mar 28 13:10:48 2019	1553789448	0	5191	5191	3191
Thu Mar 28 13:09:58 2019	1553789398	0	5194	5194	3195
Thu Mar 28 13:10:04 2019	1553789404	0	5194	5195	3195
Thu Mar 28 13:12:22 2019	1553789542	0	6001	6001	4001
Thu Mar 28 13:14:00 2019	1553789640	0	6001	6001	4001
Thu Mar 28 13:11:58 2019	1553789518	0	6001	6001	4001
Thu Mar 28 13:14:42 2019	1553789682	0	6001	6001	4001
Thu Mar 28 13:13:50 2019	1553789630	0	6001	6001	4001
Thu Mar 28 13:12:28 2019	1553789548	0	6002	6002	4002
Thu Mar 28 13:12:24 2019	1553789544	0	6001	6002	4001
Thu Mar 28 13:11:41 2019	1553789501	0	6002	6002	4002
Thu Mar 28 13:14:02 2019	1553789642	1	6001	6002	3999
Thu Mar 28 13:11:42 2019	1553789502	0	6002	6002	4002
Thu Mar 28 13:11:32 2019	1553789492	0	6002	6002	4002
Thu Mar 28 13:13:52 2019	1553789632	1	6002	6002	4001
Thu Mar 28 13:12:54 2019	1553789574	0	6002	6002	4002
Thu Mar 28 13:11:43 2019	1553789503	0	6002	6002	4002
Thu Mar 28 13:14:40 2019	1553789680	0	6003	6003	4002
Thu Mar 28 13:11:10 2019	1553789470	1	6002	6003	4003
Thu Mar 28 13:12:33 2019	1553789553	0	6003	6003	4002
Thu Mar 28 13:10:50 2019	1553789450	1	6002	6003	4001
Thu Mar 28 13:10:56 2019	1553789456	0	6002	6003	4001
Thu Mar 28 13:12:17 2019	1553789537	1	6002	6003	4000
Thu Mar 28 13:11:57 2019	1553789517	0	6003	6003	4002
Thu Mar 28 13:12:11 2019	1553789531	0	6002	6003	4001
Thu Mar 28 13:11:50 2019	1553789510	0	6003	6003	4004
Thu Mar 28 13:12:30 2019	1553789550	0	6003	6003	4003
Thu Mar 28 13:12:14 2019	1553789534	0	6003	6003	4005
Thu Mar 28 13:14:18 2019	1553789658	0	6003	6003	4002
Thu Mar 28 13:12:32 2019	1553789552	1	6002	6003	4000
Thu Mar 28 13:12:10 2019	1553789530	0	6003	6003	4002
Thu Mar 28 13:11:55 2019	1553789515	0	6003	6003	4002
Thu Mar 28 13:12:48 2019	1553789568	1	6003	6003	4003
Thu Mar 28 13:12:57 2019	1553789577	0	6003	6003	4002
Thu Mar 28 13:13:27 2019	1553789607	0	6003	6003	4002
Thu Mar 28 13:11:40 2019	1553789500	0	6003	6003	4003
Thu Mar 28 13:13:58 2019	1553789638	0	6003	6003	4003
Thu Mar 28 13:12:09 2019	1553789529	0	6003	6003	4003
Thu Mar 28 13:11:21 2019	1553789481	0	6003	6003	4001
Thu Mar 28 13:10:08 2019	1553789408	0	6003	6003	4003
Thu Mar 28 13:14:32 2019	1553789672	1	6002	6003	4002
Thu Mar 28 13:10:54 2019	1553789454	0	6003	6003	4003
Thu Mar 28 13:10:02 2019	1553789402	0	6003	6003	4003
Thu Mar 28 13:12:26 2019	1553789546	0	6003	6003	4002
Thu Mar 28 13:14:17 2019	1553789657	0	6003	6003	4002
Thu Mar 28 13:13:36 2019	1553789616	0	6003	6003	4003
Thu Mar 28 13:14:10 2019	1553789650	1	6003	6003	4002
Thu Mar 28 13:11:22 2019	1553789482	0	6003	6003	4002
Thu Mar 28 13:14:52 2019	1553789692	0	6003	6003	4003
Thu Mar 28 13:12:59 2019	1553789579	0	6003	6003	4002
Thu Mar 28 13:14:50 2019	1553789690	0	6003	6003	4003
Thu Mar 28 13:10:58 2019	1553789458	0	6003	6003	4001
Thu Mar 28 13:10:02 2019	1553789402	0	6003	6004	4001
Thu Mar 28 13:14:44 2019	1553789684	0	6003	6004	4002
Thu Mar 28 13:14:48 2019	1553789688	0	6004	6004	4003
Thu Mar 28 13:11:49 2019	1553789509	0	6004	6004	4003
Thu Mar 28 13:13:43 2019	1553789623	0	6003	6004	4003
Thu Mar 28 13:12:18 2019	1553789538	0	6003	6004	4003
Thu Mar 28 13:11:00 2019	1553789460	0	6004	6004	4003
Thu Mar 28 13:14:46 2019	1553789686	0	6004	6004	4003
Thu Mar 28 13:11:13 2019	1553789473	0	6004	6004	4002
Thu Mar 28 13:11:47 2019	1553789507	0	6003	6004	4003
Thu Mar 28 13:12:29 2019	1553789549	0	6004	6004	4002
Thu Mar 28 13:12:56 2019	1553789576	0	6004	6004	4002
Thu Mar 28 13:10:12 2019	1553789412	0	6004	6004	4003
Thu Mar 28 13:12:44 2019	1553789564	0	6004	6004	4003
Thu Mar 28 13:13:33 2019	1553789613	1	6003	6004	4002
Thu Mar 28 13:11:48 2019	1553789508	0	6004	6004	4005
