starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 10:37:48 2019	1553780268	0	5995	5995	3994
Thu Mar 28 10:37:52 2019	1553780272	0	5995	5996	3995
Thu Mar 28 10:37:50 2019	1553780270	0	5996	5996	3995
Thu Mar 28 10:37:54 2019	1553780274	0	5996	5996	3995
Thu Mar 28 10:34:56 2019	1553780096	0	5998	5999	3997
Thu Mar 28 10:34:48 2019	1553780088	0	5999	5999	3999
Thu Mar 28 10:34:50 2019	1553780090	1	5998	5999	3999
Thu Mar 28 10:33:52 2019	1553780032	0	5999	5999	3999
Thu Mar 28 10:34:02 2019	1553780042	0	5999	5999	3999
Thu Mar 28 10:34:26 2019	1553780066	0	5999	5999	3999
Thu Mar 28 10:33:44 2019	1553780024	1	5999	6000	3998
Thu Mar 28 10:33:06 2019	1553779986	0	5999	6000	3999
Thu Mar 28 10:33:50 2019	1553780030	0	5999	6000	3999
Thu Mar 28 10:34:52 2019	1553780092	0	6000	6000	3998
Thu Mar 28 10:34:48 2019	1553780088	0	6000	6000	3998
Thu Mar 28 10:34:24 2019	1553780064	0	6000	6000	3999
Thu Mar 28 10:33:54 2019	1553780034	1	5999	6000	3998
Thu Mar 28 10:34:50 2019	1553780090	0	6000	6000	3999
Thu Mar 28 10:34:52 2019	1553780092	1	5999	6000	3998
Thu Mar 28 10:33:18 2019	1553779998	0	6000	6000	4000
Thu Mar 28 10:33:06 2019	1553779986	0	6000	6000	4000
Thu Mar 28 10:34:22 2019	1553780062	0	6000	6001	4000
Thu Mar 28 10:35:22 2019	1553780122	0	6000	6001	3999
Thu Mar 28 10:34:32 2019	1553780072	0	6001	6001	4000
Thu Mar 28 10:33:54 2019	1553780034	0	6000	6001	4000
Thu Mar 28 10:34:14 2019	1553780054	0	6001	6001	4000
Thu Mar 28 10:34:28 2019	1553780068	0	6001	6001	4000
Thu Mar 28 10:33:20 2019	1553780000	0	6001	6001	4001
Thu Mar 28 10:34:30 2019	1553780070	0	6001	6001	4000
Thu Mar 28 10:34:12 2019	1553780052	0	6001	6001	4001
Thu Mar 28 10:35:26 2019	1553780126	0	6001	6001	4001
Thu Mar 28 10:33:30 2019	1553780010	0	6001	6001	4000
Thu Mar 28 10:35:28 2019	1553780128	0	6001	6001	3999
Thu Mar 28 10:34:20 2019	1553780060	0	6001	6001	4001
Thu Mar 28 10:33:28 2019	1553780008	0	6001	6001	3999
Thu Mar 28 10:35:46 2019	1553780146	1	6000	6001	4000
Thu Mar 28 10:33:16 2019	1553779996	0	6001	6001	4001
Thu Mar 28 10:34:12 2019	1553780052	0	6001	6001	4002
Thu Mar 28 10:33:48 2019	1553780028	0	6001	6001	4000
Thu Mar 28 10:33:50 2019	1553780030	3	5998	6001	3997
Thu Mar 28 10:34:24 2019	1553780064	0	6001	6001	4003
Thu Mar 28 10:33:20 2019	1553780000	0	6001	6001	4001
Thu Mar 28 10:34:38 2019	1553780078	0	6001	6001	4000
Thu Mar 28 10:34:16 2019	1553780056	1	6001	6001	4001
Thu Mar 28 10:33:56 2019	1553780036	1	6001	6001	4001
Thu Mar 28 10:34:40 2019	1553780080	0	6001	6001	4004
Thu Mar 28 10:34:10 2019	1553780050	1	6001	6001	4001
Thu Mar 28 10:34:36 2019	1553780076	0	6001	6001	4000
Thu Mar 28 10:35:10 2019	1553780110	0	6001	6001	4000
Thu Mar 28 10:33:40 2019	1553780020	0	6001	6001	4005
Thu Mar 28 10:34:16 2019	1553780056	0	6001	6002	4001
Thu Mar 28 10:33:46 2019	1553780026	0	6001	6002	4003
Thu Mar 28 10:35:04 2019	1553780104	0	6001	6002	4001
Thu Mar 28 10:34:18 2019	1553780058	0	6002	6002	4002
Thu Mar 28 10:36:26 2019	1553780186	0	6001	6002	4000
Thu Mar 28 10:34:22 2019	1553780062	0	6002	6002	3999
Thu Mar 28 10:34:06 2019	1553780046	0	6001	6002	4001
Thu Mar 28 10:35:12 2019	1553780112	0	6002	6002	4001
Thu Mar 28 10:36:38 2019	1553780198	0	6002	6002	4002
Thu Mar 28 10:35:34 2019	1553780134	0	6002	6002	4001
Thu Mar 28 10:33:52 2019	1553780032	0	6002	6002	4001
Thu Mar 28 10:34:42 2019	1553780082	0	6002	6002	4001
Thu Mar 28 10:35:20 2019	1553780120	1	6001	6002	4001
Thu Mar 28 10:34:02 2019	1553780042	0	6002	6002	4003
Thu Mar 28 10:36:08 2019	1553780168	1	6000	6002	4001
Thu Mar 28 10:36:48 2019	1553780208	0	6002	6002	4002
Thu Mar 28 10:35:42 2019	1553780142	0	6002	6002	4004
Thu Mar 28 10:34:40 2019	1553780080	0	6002	6002	4002
Thu Mar 28 10:36:40 2019	1553780200	0	6002	6002	4002
